Date_Time,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0
2021-04-20 17:22:42,99,26,0,0,0,0
2021-04-20 17:22:52,90,26,0,0,0,0
2021-04-20 17:23:02,81,16,0,0,0,0
2021-04-20 17:23:12,30,3,0,0,0,0
2021-04-20 17:23:22,18,6,0,0,0,0
2021-04-20 17:23:32,18,6,0,0,0,0
2021-04-20 17:23:42,18,6,0,0,0,0
2021-04-20 17:23:52,27,9,0,0,0,0
2021-04-20 17:24:02,69,23,0,0,0,0
2021-04-20 17:24:12,90,30,6,3,3,0
2021-04-20 17:24:22,78,26,3,0,0,0
2021-04-20 17:24:32,57,19,0,0,0,0
2021-04-20 17:24:42,27,9,0,0,0,0
2021-04-20 17:24:52,18,6,3,0,0,0
2021-04-20 17:25:02,18,6,3,0,0,0
2021-04-20 17:25:12,69,23,0,0,0,0
2021-04-20 17:25:22,99,33,0,0,0,0
2021-04-20 17:25:32,81,27,0,0,0,0
2021-04-20 17:25:42,81,27,0,0,0,0
2021-04-20 17:25:52,39,13,0,0,0,0
2021-04-20 17:26:02,69,23,3,0,0,0
2021-04-20 17:26:12,81,27,0,0,0,0
2021-04-20 17:26:22,114,34,3,0,0,0
2021-04-20 17:26:32,93,27,3,0,0,0
2021-04-20 17:26:42,39,13,0,0,0,0
2021-04-20 17:26:52,69,23,0,0,0,0
2021-04-20 17:27:02,30,10,0,0,0,0
2021-04-20 17:27:12,93,31,0,0,0,0
2021-04-20 17:27:22,60,20,0,0,0,0
2021-04-20 17:27:32,39,13,0,0,0,0
2021-04-20 17:27:42,27,9,0,0,0,0
2021-04-20 17:27:52,57,19,0,0,0,0
2021-04-20 17:28:02,60,16,0,0,0,0
2021-04-20 17:28:12,60,16,0,0,0,0
2021-04-20 17:28:22,48,16,0,0,0,0
2021-04-20 17:28:32,9,3,0,0,0,0
2021-04-20 17:28:42,27,6,0,0,0,0
2021-04-20 17:28:52,78,19,3,0,0,0
2021-04-20 17:29:02,69,23,0,0,0,0
2021-04-20 17:29:12,78,26,0,0,0,0
2021-04-20 17:29:22,75,25,0,0,0,0
2021-04-20 17:29:32,84,28,0,0,0,0
2021-04-20 17:29:42,57,19,0,0,0,0
2021-04-20 17:29:52,57,19,0,0,0,0
2021-04-20 17:30:02,81,27,0,0,0,0
2021-04-20 17:30:12,90,27,0,0,0,0
2021-04-20 17:30:22,27,9,0,0,0,0
2021-04-20 17:30:32,18,6,0,0,0,0
2021-04-20 17:30:42,18,6,0,0,0,0
2021-04-20 17:30:52,9,3,0,0,0,0
2021-04-20 17:31:02,18,6,0,0,0,0
2021-04-20 17:31:12,39,13,0,0,0,0
2021-04-20 17:31:22,102,34,0,0,0,0
2021-04-20 17:31:32,123,38,0,0,0,0
2021-04-20 17:31:42,99,33,0,0,0,0
2021-04-20 17:31:52,69,19,0,0,0,0
2021-04-20 17:32:02,36,12,0,0,0,0
2021-04-20 17:32:12,90,30,0,0,0,0
2021-04-20 17:32:22,111,37,3,0,0,0
2021-04-20 17:32:32,99,29,3,0,0,0
2021-04-20 17:32:42,69,19,0,0,0,0
2021-04-20 17:32:52,39,13,0,0,0,0
2021-04-20 17:33:02,72,20,0,0,0,0
2021-04-20 17:33:12,111,33,0,0,0,0
2021-04-20 17:33:22,120,40,0,0,0,0
2021-04-20 17:33:32,51,17,0,0,0,0
2021-04-20 17:33:42,51,17,0,0,0,0
2021-04-20 17:33:52,69,23,3,0,0,0
2021-04-20 17:34:02,84,25,6,0,0,0
2021-04-20 17:34:12,75,22,3,0,0,0
2021-04-20 17:34:22,39,13,0,0,0,0
2021-04-20 17:34:32,18,6,0,0,0,0
2021-04-20 17:34:42,39,13,0,0,0,0
2021-04-20 17:34:52,120,33,0,0,0,0
2021-04-20 17:35:02,90,23,0,0,0,0
2021-04-20 17:35:12,48,16,3,0,0,0
2021-04-20 17:35:22,57,19,3,0,0,0
2021-04-20 17:35:32,39,13,0,0,0,0
2021-04-20 17:35:42,132,37,0,0,0,0
2021-04-20 17:35:52,135,38,0,0,0,0
2021-04-20 17:36:02,93,27,0,0,0,0
2021-04-20 17:36:12,39,9,0,0,0,0
2021-04-20 17:36:22,81,27,0,0,0,0
2021-04-20 17:36:32,111,33,0,0,0,0
2021-04-20 17:36:42,36,12,0,0,0,0
2021-04-20 17:36:52,30,10,3,3,3,3
2021-04-20 17:37:02,39,13,0,0,0,0
2021-04-20 17:37:12,81,27,0,0,0,0
2021-04-20 17:37:22,90,27,0,0,0,0
2021-04-20 17:37:32,96,26,0,0,0,0
2021-04-20 17:37:42,90,23,0,0,0,0
2021-04-20 17:37:52,72,24,0,0,0,0
2021-04-20 17:38:02,63,21,0,0,0,0
2021-04-20 17:38:12,66,19,0,0,0,0
2021-04-20 17:38:22,36,9,0,0,0,0
2021-04-20 17:38:32,21,7,0,0,0,0
2021-04-20 17:38:42,18,6,0,0,0,0
2021-04-20 17:38:52,78,22,3,0,0,0
2021-04-20 17:39:02,60,16,0,0,0,0
2021-04-20 17:39:12,57,16,0,0,0,0
2021-04-20 17:39:22,48,13,0,0,0,0
2021-04-20 17:39:32,27,9,0,0,0,0
2021-04-20 17:39:42,90,27,0,0,0,0
2021-04-20 17:39:52,72,24,0,0,0,0
2021-04-20 17:40:02,90,27,0,0,0,0
2021-04-20 17:40:12,108,33,0,0,0,0
2021-04-20 17:40:22,90,30,0,0,0,0
2021-04-20 17:40:32,51,14,0,0,0,0
2021-04-20 17:40:42,93,31,0,0,0,0
2021-04-20 17:40:52,195,62,0,0,0,0
2021-04-20 17:41:02,108,36,9,3,3,3
2021-04-20 17:41:12,117,39,9,3,3,0
2021-04-20 17:41:22,138,46,3,3,3,0
2021-04-20 17:41:32,108,36,3,0,0,0
2021-04-20 17:41:42,96,29,0,0,0,0
2021-04-20 17:41:52,99,30,0,0,0,0
2021-04-20 17:42:02,60,20,7,3,0,0
2021-04-20 17:42:12,150,44,7,3,0,0
2021-04-20 17:42:22,144,45,7,0,0,0
2021-04-20 17:42:32,93,31,10,3,3,0
2021-04-20 17:42:42,153,51,3,3,3,0
2021-04-20 17:42:52,123,37,0,0,0,0
2021-04-20 17:43:02,111,33,6,6,3,0
2021-04-20 17:43:12,123,41,3,3,3,0
2021-04-20 17:43:22,123,34,0,0,0,0
2021-04-20 17:43:32,57,19,0,0,0,0
2021-04-20 17:43:42,129,43,3,0,0,0
2021-04-20 17:43:52,249,76,16,3,3,3
2021-04-20 17:44:02,219,62,27,3,3,0
2021-04-20 17:44:12,174,54,17,3,3,3
2021-04-20 17:44:22,90,30,0,0,0,0
2021-04-20 17:44:32,234,78,3,3,3,3
2021-04-20 17:44:42,126,42,13,3,3,3
2021-04-20 17:44:52,117,39,7,0,0,0
2021-04-20 17:45:02,54,18,0,0,0,0
2021-04-20 17:45:12,75,22,0,0,0,0
2021-04-20 17:45:22,57,19,0,0,0,0
2021-04-20 17:45:32,108,33,0,0,0,0
2021-04-20 17:45:42,57,19,0,0,0,0
2021-04-20 17:45:52,60,17,0,0,0,0
2021-04-20 17:46:02,81,27,3,3,3,0
2021-04-20 17:46:12,285,95,27,3,0,0
2021-04-20 17:46:22,207,65,16,3,0,0
2021-04-20 17:46:32,132,37,3,0,0,0
2021-04-20 17:46:42,48,13,0,0,0,0
2021-04-20 17:46:52,111,34,3,0,0,0
2021-04-20 17:47:02,120,37,0,0,0,0
2021-04-20 17:47:12,141,47,0,0,0,0
2021-04-20 17:47:22,111,37,0,0,0,0
2021-04-20 17:47:32,81,27,0,0,0,0
2021-04-20 17:47:42,189,63,6,0,0,0
2021-04-20 17:47:52,144,48,3,0,0,0
2021-04-20 17:48:02,63,17,0,0,0,0
2021-04-20 17:48:12,69,19,0,0,0,0
2021-04-20 17:48:22,48,16,0,0,0,0
2021-04-20 17:48:32,87,29,0,0,0,0
2021-04-20 17:48:42,87,25,0,0,0,0
2021-04-20 17:48:52,72,20,0,0,0,0
2021-04-20 17:49:02,93,31,0,0,0,0
2021-04-20 17:49:12,90,30,0,0,0,0
2021-04-20 17:49:22,57,16,0,0,0,0
2021-04-20 17:49:32,96,29,0,0,0,0
2021-04-20 17:49:42,111,37,0,0,0,0
2021-04-20 17:49:52,81,27,0,0,0,0
2021-04-20 17:50:02,30,10,0,0,0,0
2021-04-20 17:50:12,126,38,13,3,3,0
2021-04-20 17:50:22,114,34,10,3,3,0
2021-04-20 17:50:32,60,20,0,0,0,0
2021-04-20 17:50:42,57,16,0,0,0,0
2021-04-20 17:50:52,69,23,0,0,0,0
2021-04-20 17:51:02,39,13,0,0,0,0
2021-04-20 17:51:12,60,20,0,0,0,0
2021-04-20 17:51:22,39,13,0,0,0,0
2021-04-20 17:51:32,39,13,0,0,0,0
2021-04-20 17:51:42,9,3,0,0,0,0
2021-04-20 17:51:52,30,10,0,0,0,0
2021-04-20 17:52:02,69,23,0,0,0,0
2021-04-20 17:52:12,66,22,3,0,0,0
2021-04-20 17:52:22,96,32,6,0,0,0
2021-04-20 17:52:32,39,9,0,0,0,0
2021-04-20 17:52:42,39,6,0,0,0,0
2021-04-20 17:52:52,48,16,0,0,0,0
2021-04-20 17:53:02,72,24,0,0,0,0
2021-04-20 17:53:12,42,14,0,0,0,0
2021-04-20 17:53:22,27,9,0,0,0,0
2021-04-20 17:53:32,48,16,3,0,0,0
2021-04-20 17:53:42,99,30,3,0,0,0
2021-04-20 17:53:52,174,51,3,0,0,0
2021-04-20 17:54:02,141,43,3,0,0,0
2021-04-20 17:54:12,144,44,0,0,0,0
2021-04-20 17:54:22,93,27,3,0,0,0
2021-04-20 17:54:32,123,41,6,0,0,0
2021-04-20 17:54:42,141,47,3,0,0,0
2021-04-20 17:54:52,120,40,0,0,0,0
2021-04-20 17:55:02,60,17,0,0,0,0
2021-04-20 17:55:12,99,30,0,0,0,0
2021-04-20 17:55:22,78,23,0,0,0,0
2021-04-20 17:55:32,48,16,0,0,0,0
2021-04-20 17:55:42,60,20,0,0,0,0
2021-04-20 17:55:52,87,25,0,0,0,0
2021-04-20 17:56:02,75,21,0,0,0,0
2021-04-20 17:56:12,66,19,0,0,0,0
2021-04-20 17:56:22,141,44,0,0,0,0
2021-04-20 17:56:32,111,34,3,0,0,0
2021-04-20 17:56:42,141,44,10,0,0,0
2021-04-20 17:56:52,171,57,7,0,0,0
2021-04-20 17:57:02,126,39,0,0,0,0
